,Start,End,Sleep quality,Time in bed,Wake up,Sleep Notes,Heart rate,Activity (steps)
100,2015-05-20 22:22:50,2015-05-21 05:25:20,59%,7:02,:),Drank tea:Worked out,62.0,0
101,2015-05-21 22:47:04,2015-05-22 05:25:14,74%,6:38,:),Drank coffee:Drank tea:Worked out,60.0,0
102,2015-05-24 00:01:49,2015-05-24 07:35:15,73%,7:33,:),Drank coffee:Worked out,60.60493827160494,0
103,2015-05-24 22:58:17,2015-05-25 06:45:23,67%,7:47,:),Drank coffee:Drank tea,61.0,0
104,2015-05-25 22:05:49,2015-05-26 05:29:03,85%,7:23,:),Drank coffee:Drank tea,60.60493827160494,0
105,2015-05-26 22:18:17,2015-05-27 05:14:36,69%,6:56,:),Drank coffee:Drank tea:Worked out,60.60493827160494,0
106,2015-05-28 23:10:34,2015-05-29 07:00:03,81%,7:49,:),Drank coffee:Drank tea:Worked out,52.0,0
107,2015-05-31 23:16:56,2015-06-01 06:20:08,72%,7:03,:),Drank coffee,76.0,0
108,2015-06-01 22:20:07,2015-06-02 06:19:46,76%,7:59,:),Drank coffee:Drank tea:Worked out,57.0,0
109,2015-06-03 22:19:31,2015-06-04 05:20:25,78%,7:00,:),Drank coffee:Drank tea,64.0,0
110,2015-06-04 22:20:19,2015-06-05 03:45:30,70%,5:25,:(,Drank coffee:Drank tea:Worked out,60.60493827160494,0
111,2015-06-05 03:45:52,2015-06-05 05:41:01,23%,1:55,:),,57.0,0
112,2015-06-07 22:01:10,2015-06-08 05:40:26,75%,7:39,:),Drank coffee,58.0,0
113,2015-06-08 21:57:12,2015-06-09 05:16:21,69%,7:19,:),Drank coffee:Drank tea:Worked out,60.60493827160494,0
114,2015-06-09 21:07:02,2015-06-10 05:01:10,83%,7:54,:),Drank coffee:Drank tea:Worked out,60.60493827160494,0
115,2015-06-10 21:12:48,2015-06-11 06:17:34,92%,9:04,:),Drank tea:Stressful day:Worked out,68.0,0
116,2015-06-11 22:54:00,2015-06-12 06:19:02,74%,7:25,:),Drank coffee:Worked out,60.60493827160494,0
117,2015-06-14 22:38:25,2015-06-15 06:12:56,81%,7:34,:),Drank coffee:Drank tea,60.60493827160494,0
118,2015-06-15 22:31:51,2015-06-16 06:20:20,88%,7:48,:),Drank coffee:Drank tea:Worked out,64.0,0
119,2015-06-16 22:21:15,2015-06-17 06:20:16,69%,7:59,:),Drank coffee:Drank tea:Stressful day:Worked out,60.60493827160494,0
120,2015-06-17 21:28:17,2015-06-18 05:00:04,63%,7:31,:),Drank coffee,60.60493827160494,0
121,2015-06-18 22:26:07,2015-06-19 04:46:50,71%,6:20,:),Drank coffee:Worked out,60.60493827160494,0
122,2015-06-22 21:54:38,2015-06-23 05:07:41,78%,7:13,:),Drank coffee:Worked out,60.60493827160494,0
123,2015-06-23 22:09:26,2015-06-24 04:57:46,76%,6:48,:),Drank coffee:Drank tea:Worked out,60.60493827160494,0
124,2015-06-24 04:58:36,2015-06-24 05:45:00,10%,0:46,:),,60.60493827160494,0
125,2015-06-24 22:37:23,2015-06-25 06:20:50,82%,7:43,:),Drank coffee:Stressful day:Worked out,58.0,0
126,2015-07-11 22:29:21,2015-07-12 08:00:42,98%,9:31,:),Drank coffee:Stressful day,69.0,0
127,2015-07-19 21:38:23,2015-07-20 06:09:35,69%,8:31,:),Drank coffee,74.0,0
128,2015-07-20 22:01:21,2015-07-21 05:04:47,68%,7:03,:),Drank coffee:Drank tea:Worked out,60.60493827160494,0
129,2015-07-21 22:02:34,2015-07-22 05:45:33,79%,7:42,:),Drank coffee:Drank tea:Worked out,67.0,0
130,2015-07-23 22:29:37,2015-07-24 06:44:02,86%,8:14,:),Drank coffee:Stressful day:Worked out,60.60493827160494,0
131,2015-07-26 22:29:51,2015-07-27 06:20:13,93%,7:50,:),Drank coffee:Worked out,58.0,0
132,2015-07-28 21:32:08,2015-07-29 05:39:59,68%,8:07,:),Drank coffee:Drank tea:Stressful day:Worked out,58.0,0
133,2015-07-29 23:06:06,2015-07-30 05:40:14,71%,6:34,:),Drank coffee:Drank tea:Worked out,61.0,0
134,2015-07-30 21:40:08,2015-07-31 05:40:15,88%,8:00,:),Drank coffee:Worked out,64.0,0
135,2015-08-01 01:41:20,2015-08-01 08:31:02,77%,6:49,:),Drank coffee:Drank tea:Worked out,64.0,0
136,2015-08-01 22:55:10,2015-08-02 08:02:09,97%,9:06,:),Drank coffee:Worked out,60.60493827160494,0
137,2015-08-02 23:45:43,2015-08-03 00:00:48,3%,0:15,:|,Drank coffee:Worked out,60.60493827160494,0
138,2015-08-03 00:26:02,2015-08-03 07:25:42,88%,6:59,:),Drank coffee:Worked out,68.0,0
139,2015-08-03 21:46:15,2015-08-04 05:00:34,71%,7:14,:),Drank coffee:Stressful day:Worked out,60.60493827160494,0
140,2015-08-04 21:17:10,2015-08-05 04:55:48,81%,7:38,:),Drank coffee:Drank tea:Worked out,60.60493827160494,0
141,2015-08-05 21:35:13,2015-08-06 04:55:01,78%,7:19,:),Drank coffee:Drank tea:Worked out,57.0,0
142,2015-08-08 00:19:09,2015-08-08 07:56:38,97%,7:37,:),Drank coffee:Worked out,54.0,0
143,2015-08-10 00:01:12,2015-08-10 05:03:22,65%,5:02,:),Drank coffee,60.60493827160494,0
144,2015-08-10 21:11:19,2015-08-11 06:09:21,72%,8:58,:),Drank coffee:Drank tea:Worked out,50.0,0
145,2015-08-15 23:41:21,2015-08-16 07:27:56,84%,7:46,:),Drank coffee,60.60493827160494,0
